"nat_abbr","wgs84_lat","wgs84_long","base_hasl"
"CEV",46.3210527777778,8.60310833333333,421
"ETZ",47.1818944444444,7.64819722222222,524
"FLP",46.7440638888889,9.98209722222222,2177
