XLS_TABLE;1.5;
Type_of_product:;cosmo_determinist;
Experiment:;105;
Reference_time:;2019-01-01;0:00;+0:00;
Start_time:;2019-01-01;1:00;+0:00;
End_time:;2019-01-01;1:00;+0:00;
Missing_value_code:;-999.00;
Width_of_text_label_column:;-1;
Number_of_integer_label_columns:;4;
Number_of_real_label_columns:;0;
Number_of_data_columns:;40;
Number_of_data_rows:;27;
Indicator:;AXA;BIV;BRS;CAS;CEV;CHD;COV;DIS;DOL;ETZ;EVO;FBG;FLP;FRF;GOD;GRH;GSB;GUE;GVE;KSL;LAN;LEI;MNT;MRT;MTG;MTP;MUG;NOV;OLI;RAV;ROW;SAE;SHA;SKN;SMA;SPS;STC;SWL;TOR;YVN;
Location_name:;Bivio;Cevio;Chateau-d'Oex;Piz_Corvatsch;Disentis_-_Sedrun;La_Dole;Evolene_-_Villa;Grimsel_Hospiz;Col_du_Grand_St-Bernard;Guetsch_ob_Andermatt;Geneve-Cointrin;Leibstadt;Saentis;Schaffhausen;Zuerich_-_Fluntern;St._Chrischona;Yverdon-les-Bains;
Location_longitude:;8.054;9.669;8.650;9.665;8.603;7.140;9.821;8.854;6.100;7.648;7.509;7.331;9.982;8.910;8.552;8.333;7.171;8.615;6.128;8.178;9.563;8.188;7.019;9.823;8.917;6.819;9.193;8.970;8.954;7.054;8.041;9.344;8.620;8.160;8.566;9.315;7.687;7.715;7.648;6.651;
D_TD_2M;105;2;2019-01-01 01:00;00:00;12.244;3.8195;7.2541;4.7746;10.435;2.7126;3.2741;0.18771;0.91672;0.27219;9.1418;0.11301;3.8039;0.18820;0.43671E-01;7.9060;10.497;7.4445;0.74875;0.39963;1.3479;0.28098;0.34393E-01;4.0681;7.9201;1.5144;1.3576;6.1272;6.0398;2.8337;6.1130;4.8972;0.29999E-01;0.41718E-01;0.23651E-01;4.4240;0.34882E-01;0.78098;12.752;0.94162;
DD_10M;105;10;2019-01-01 01:00;00:00;224.96;128.04;267.65;1.7912;185.12;56.881;49.623;265.49;69.153;58.936;148.40;71.643;252.38;157.03;314.40;216.68;354.25;356.00;65.639;216.10;346.53;102.88;112.90;80.503;209.13;45.365;118.92;118.66;187.79;310.10;124.15;238.85;210.70;30.179;33.238;314.61;258.52;243.89;38.877;58.301;
DURSUN;1;-1;2019-01-01 01:00;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
FF_10M;105;10;2019-01-01 01:00;00:00;1.0688;1.1867;0.49746;1.6841;2.3598;1.4962;7.1203;0.17640;4.0576;2.6105;1.4533;2.6917;0.57148;1.0773;1.4465;2.9743;5.6257;3.4133;1.8008;0.95630;0.43870;0.93806;0.58522;1.5903;0.86879;1.6879;1.1298;0.97448;0.76689;1.5131;0.66417;2.3126;1.0010;2.0008;1.2339;2.3714;0.69744;0.39555;1.9837;2.0872;
GLOB;1;-1;2019-01-01 01:00;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
H_SNOW;1;-1;2019-01-01 01:00;00:00;0.68792;0.74012;0.56323E-01;0.40052;0.0000;0.0000;1.6472;0.82263E-01;0.0000;0.0000;0.47859;0.0000;1.1515;0.0000;0.0000;0.77574;0.88787;1.2150;0.0000;0.0000;0.0000;0.0000;0.0000;1.4408;0.0000;0.0000;0.0000;0.0000;0.16153;0.0000;0.54161;0.93183;0.0000;0.0000;0.0000;1.0526;0.0000;0.0000;0.73478;0.0000;
HPBL;1;-1;2019-01-01 01:00;00:00;9.4871;9.8621;10.050;26.550;17.112;17.862;502.55;10.175;128.74;186.61;9.9246;200.36;9.7371;21.487;104.80;50.987;111.30;84.737;150.24;10.675;10.237;10.362;10.675;31.925;9.9871;27.237;10.237;9.9871;10.050;17.425;9.7996;28.862;17.050;77.987;63.925;45.487;12.550;9.9871;16.362;217.86;
PS;1;-1;2019-01-01 01:00;00:00;78373.;81120.;87393.;84364.;94115.;91226.;70601.;89454.;86217.;97409.;82226.;95102.;78283.;97683.;97401.;80452.;76060.;77635.;98348.;95292.;97059.;99244.;93990.;74330.;97849.;92582.;97660.;98031.;88477.;89309.;82796.;79780.;98056.;95032.;96815.;78913.;97448.;94666.;77932.;98105.;
RELHUM_2M;105;2;2019-01-01 01:00;00:00;38.319;74.911;57.710;70.113;47.091;82.126;77.436;98.598;93.535;98.089;49.609;99.199;74.608;98.668;99.691;54.925;45.094;56.624;94.896;97.168;90.759;98.013;99.756;73.022;56.473;89.678;90.764;64.155;63.678;81.487;62.970;68.808;99.786;99.702;99.830;71.476;99.754;94.524;37.632;93.616;
T_2M;105;2;2019-01-01 01:00;00:00;270.42;270.25;271.75;272.73;279.21;274.59;266.21;269.08;273.17;276.27;271.33;275.65;268.12;275.57;275.99;272.07;273.27;270.90;278.08;274.61;275.00;275.29;275.70;267.83;277.96;275.07;275.94;276.56;272.80;275.22;271.36;269.70;275.31;275.07;274.37;270.13;276.59;274.42;273.24;278.02;
TD_2M;105;2;2019-01-01 01:00;00:00;258.17;266.44;264.50;267.96;268.77;271.87;262.93;268.89;272.25;275.99;262.18;275.53;264.32;275.39;275.95;264.16;262.77;263.45;277.33;274.21;273.65;275.01;275.67;263.77;270.04;273.55;274.58;270.43;266.76;272.39;265.25;264.80;275.28;275.03;274.35;265.71;276.55;273.64;260.49;277.07;
TOT_PREC;1;-1;2019-01-01 01:00;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
TOT_RAIN;1;-1;2019-01-01 01:00;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
TOT_SNOW;1;-1;2019-01-01 01:00;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
U_10M;105;10;2019-01-01 01:00;00:00;0.77369;-0.93139;0.49732;-0.59804E-01;0.25221;-1.2820;-5.4353;0.17604;-3.8591;-2.2756;-0.72191;-2.5823;0.54469;-0.40648;1.0144;1.8274;0.36012;0.17848;-1.6750;0.58131;0.99864E-01;-0.90941;-0.53002;-1.5691;0.43336;-1.2483;-0.98314;-0.84887;0.11402;1.1199;-0.54027;1.9890;0.52613;-1.0461;-0.69506;1.6736;0.68727;0.36012;-1.2908;-1.8210;
V_10M;105;10;2019-01-01 01:00;00:00;0.73737;0.73541;0.11780E-01;-1.6830;2.3463;-0.77142;-4.5995;0.11292E-01;-1.2534;-1.2792;1.2613;-0.75970;0.17291;0.99762;-1.0312;2.3467;-5.6142;-3.4086;-0.66107;0.75934;-0.42719;0.23004;0.24811;-0.25922;0.75299;-1.1362;0.55670;0.47858;0.75836;-1.0175;0.38629;1.1797;0.85162;-1.7055;-1.0195;-1.6801;0.11871;0.16364;-1.5063;-1.0200;
VMAX_10M;105;10;2019-01-01 01:00;01:00;1.7395;1.7864;1.1526;5.8567;3.8401;2.8401;14.390;0.57938;7.4632;4.8391;1.6868;8.5247;0.76102;2.2112;3.4397;6.9612;9.8313;6.2132;3.2122;1.8069;1.7366;2.2776;1.7171;3.7923;3.3411;3.6341;2.3645;1.3206;1.4065;4.0550;1.1868;4.0110;1.8880;3.5579;2.4251;4.9837;2.1985;0.54715;3.5393;5.2679;
